mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
26	26	1/4	1/4	4/4	4	1	v.V	c	v		V	V							M	1	1	2, 6, 3		2	2	0	4	0.0	0.0	0.75	0.0
26	26	1/2	1/2	4/4	4	1	i	c	v		i	i							m	1	1	1, -2, 2		1	1	0	4	0.0	0.0	0.875	0.0
26	26	3/4	3/4	4/4	4	1	V	c	v		V	V							M	1	1	2, 6, 3		2	2	0	4	0.0	0.0	0.75	0.0
27	27	0	0	4/4	4	1	i	c	v		i	i							m	1	1	1, -2, 2		1	1	0	5	0.0	0.0	1.5	0.0
27	27	3/8	3/8	4/4	4	1	i2	c	v		i2	i		2					mm7	1	1	-1, 1, -2, 2		1	-1	0	3	0.0	0.0	0.375	0.0
27	27	1/2	1/2	4/4	4	1	iv6(2)	c	v		iv6(2)	iv		6	2				m	1	1	-3, 1, 2		0	-3	0	6	0.0	0.0	1.0	0.0
27	27	3/4	3/4	4/4	4	1	iv6	c	v		iv6	iv		6					m	1	1	-3, 1, 0		0	-3	1	5	0.16666666666666666	0.125	0.75	0.14285714285714285
28	28	0	0	4/4	4	1	V7	c	v		V7	V		7					Mm7	1	1	2, 6, 3, 0		2	2	0	7	0.0	0.0	1.0	0.0
28	28	1/4	1/4	4/4	4	1	VI	c	v		VI	VI							M	1	1	-3, 1, -2		-3	-3	0	6	0.0	0.0	1.25	0.0
28	28	1/2	1/2	4/4	4	1	ii%65	c	v		ii%65	ii	%	65					%7	1	1	0, -3, 1, 3		3	0	0	5	0.0	0.0	1.0	0.0
28	28	3/4	3/4	4/4	4	1	V	c	v		V	V							M	1	1	2, 6, 3		2	2	0	5	0.0	0.0	0.75	0.0
29	29	0	0	4/4	4	1	i	c	v		i	i							m	1	1	1, -2, 2		1	1	2	4	0.3333333333333333	0.25	0.75	0.25
29	29	1/4	1/4	4/4	4	1	i.i6	c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3	0	5	0.0	0.0	1.0	0.0
29	29	1/2	1/2	4/4	4	1	ii%65	c	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1	0	5	0.0	0.0	1.0	0.0
29	29	3/4	3/4	4/4	4	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1	0	5	0.0	0.0	0.75	0.0
