mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	staff_text	tempo	qpm	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
17	15	86	86	1.0	0	0	Chord	3/2	3	1	1/4	1/4	1	261								
17	15	87	87	1.0	1/4	1/4	Chord	3/2	3	1	1/4	1/4	1	262								
17	15	88	88	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	263								
17	15	90	90	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	264								
17	15	86	86	0.0	0	0	FiguredBass	3/2	4	1	0								1/4	6	5	
17	15	86	86	0.0	0	0	StaffText	3/2	4	1	0				ii65							
17	15	86	86	1.0	0	0	Chord	3/2	4	1	1/4	1/4	1	265								
17	15	87	87	1.0	1/4	1/4	Chord	3/2	4	1	1/4	1/4	1	266								
17	15	88	88	0.0	1/2	1/2	FiguredBass	3/2	4	1	0								1/2	5	4	
17	15	88	88	0.0	1/2	1/2	StaffText	3/2	4	1	0				V(4)							
17	15	88	88	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	267								
17	15	90	90	0.0	1	1	FiguredBass	3/2	4	1	0								1/2	#		
17	15	90	90	0.0	1	1	StaffText	3/2	4	1	0				V							
17	15	90	90	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	268								
18	16	92	92	4.0	0	0	Chord	3/2	1	1	1	1	1	269								
18	16	92	92	4.0	0	0	Chord	3/2	2	1	1	1	1	270								
18	16	92	92	4.0	0	0	Chord	3/2	3	1	1	1	1	271								
18	16	92	92	0.0	0	0	StaffText	3/2	4	1	0				I|PAC}							
18	16	92	92	4.0	0	0	Chord	3/2	4	1	1	1	1	272								
