mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	tempo	qpm	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2
55	55	164	164	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	263							
55	55	162	162	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	264							
55	55	327/2	327/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	265							
55	55	164	164	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	266							
55	55	162	162	0.0	0	0	FiguredBass	3/4	3	1	0								3/4	#	
55	55	162	162	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	267							
56	56	165	165	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	268							
56	56	165	165	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	269							
56	56	333/2	333/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	270							
56	56	167	167	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	271							
56	56	165	165	0.0	0	0	FiguredBass	3/4	3	1	0								3/4	h	
56	56	165	165	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	272							
57	57	168	168	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	273							
57	57	339/2	339/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	274							
57	57	170	170	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	275							
57	57	168	168	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	276							
57	57	168	168	0.0	0	0	FiguredBass	3/4	3	1	0								3/4	6	5
57	57	168	168	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	277							
58	58	171	171	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	278							
58	58	171	171	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	279							
58	58	345/2	345/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	280							
58	58	173	173	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	281							
58	58	171	171	0.0	0	0	FiguredBass	3/4	3	1	0								1/4	9	
58	58	171	171	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	282							
58	58	172	172	0.0	1/4	1/4	FiguredBass	3/4	3	1	0								1/4	8	
58	58	173	173	0.0	1/2	1/2	FiguredBass	3/4	3	1	0								1/4	6	4
58	58	173	173	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	283							
59	59	174	174	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	284							
59	59	351/2	351/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	285							
59	59	176	176	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	286							
59	59	174	174	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	287							
59	59	174	174	0.0	0	0	FiguredBass	3/4	3	1	0								3/4	6	5
59	59	174	174	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	288							
60	60	177	177	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	289							
60	60	177	177	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	290							
60	60	357/2	357/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	291							
60	60	179	179	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	292							
60	60	177	177	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	293							
60	60	179	179	0.0	1/2	1/2	FiguredBass	3/4	3	1	0								1/4	6	4
60	60	179	179	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	294							
61	61	180	180	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	295							
61	61	363/2	363/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	296							
61	61	182	182	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	297							
61	61	180	180	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	298							
61	61	180	180	0.0	0	0	FiguredBass	3/4	3	1	0								3/4	6	5
61	61	180	180	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	299							
62	62	183	183	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	300							
62	62	183	183	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	301							
62	62	369/2	369/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	302							
62	62	185	185	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	303							
62	62	183	183	0.0	0	0	FiguredBass	3/4	3	1	0								1/2	5	
62	62	183	183	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	304							
62	62	185	185	0.0	1/2	1/2	FiguredBass	3/4	3	1	0								1/4	6	4
62	62	185	185	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	305							
63	63	186	186	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	306							
63	63	375/2	375/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	307							
63	63	188	188	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	308							
63	63	186	186	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	309							
63	63	186	186	0.0	0	0	FiguredBass	3/4	3	1	0								3/4	6	5
63	63	186	186	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	310							
64	64	189	189	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	311							
64	64	381/2	381/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	312							
64	64	191	191	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	313							
64	64	189	189	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	314							
64	64	381/2	381/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	315							
64	64	191	191	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	316							
64	64	189	189	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	317							
65	65	192	192	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	318							
65	65	194	194	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	319							
65	65	192	192	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	320							
65	65	194	194	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	321							
65	65	192	192	0.0	0	0	FiguredBass	3/4	3	1	0								1/2	6b	
65	65	192	192	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	322							
65	65	194	194	0.0	1/2	1/2	FiguredBass	3/4	3	1	0								1/4	5	
66	66	195	195	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	323							
66	66	197	197	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	324							
66	66	195	195	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	325							
66	66	197	197	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	326							
66	66	195	195	0.0	0	0	FiguredBass	3/4	3	1	0								1/2	#	
66	66	195	195	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	327							
67	67	198	198	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	328							
67	67	200	200	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	329							
67	67	198	198	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	330							
67	67	198	198	0.0	0	0	FiguredBass	3/4	3	1	0								1/2	6	
67	67	198	198	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	331							
68	68	201	201	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	332							
68	68	203	203	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	333							
68	68	201	201	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	334							
68	68	201	201	0.0	0	0	FiguredBass	3/4	3	1	0								1/2	6	
68	68	201	201	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	335							
69	69	204	204	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	336							
69	69	411/2	411/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	337							
69	69	206	206	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	338							
69	69	204	204	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	339							
69	69	206	206	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	340							
69	69	204	204	0.0	0	0	FiguredBass	3/4	3	1	0								1/4	6	4+
69	69	204	204	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	341							
69	69	205	205	0.0	1/4	1/4	FiguredBass	3/4	3	1	0								1/2	7	5
70	70	207	207	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	342							
70	70	417/2	417/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	343							
70	70	209	209	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	344							
70	70	207	207	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	345							
70	70	417/2	417/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	346							
70	70	209	209	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	347							
70	70	207	207	0.0	0	0	FiguredBass	3/4	3	1	0								1/2	6	4
70	70	207	207	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	348							
70	70	209	209	0.0	1/2	1/2	FiguredBass	3/4	3	1	0								1/4	5	#
71	71	210	210	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	349							
71	71	210	210	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	350							
71	71	210	210	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	351							
