mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	tempo	qpm	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2
19	17	131/2	131/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0							1/8	_	
19	17	131/2	131/2	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	236						
19	17	66	66	0.0	3/8	3/8	FiguredBass	4/4	3	1	0							1/8	_	#
19	17	66	66	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	237						
19	17	133/2	133/2	0.75	1/2	1/2	Chord	4/4	3	1	3/16	1/8	3/2	238						
19	17	269/4	269/4	0.25	11/16	11/16	Chord	4/4	3	1	1/16	1/16	1	239						
19	17	135/2	135/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0							3/16	4	2
19	17	135/2	135/2	0.75	3/4	3/4	Chord	4/4	3	1	3/16	1/8	3/2	240						
19	17	273/4	273/4	0.25	15/16	15/16	Chord	4/4	3	1	1/16	1/16	1	241						
20	18	137/2	137/2	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	242						
20	18	277/4	277/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	243						
20	18	139/2	139/2	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	244						
20	18	281/4	281/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	245						
20	18	141/2	141/2	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	246						
20	18	289/4	289/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	247						
20	18	137/2	137/2	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	248						
20	18	139/2	139/2	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	249						
20	18	141/2	141/2	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	250						
20	18	289/4	289/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	251						
20	18	137/2	137/2	0.0	0	0	FiguredBass	4/4	3	1	0							3/8	6	
20	18	137/2	137/2	1.5	0	0	Chord	4/4	3	1	3/8	1/4	3/2	252						
20	18	281/4	281/4	0.0	7/16	7/16	FiguredBass	4/4	3	1	0							1/16	#	
20	18	281/4	281/4	0.25	7/16	7/16	Chord	4/4	3	1	1/16	1/16	1	253						
20	18	141/2	141/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0							3/16	#	
20	18	141/2	141/2	0.75	1/2	1/2	Chord	4/4	3	1	3/16	1/8	3/2	254						
20	18	285/4	285/4	0.25	11/16	11/16	Chord	4/4	3	1	1/16	1/16	1	255						
20	18	143/2	143/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0							3/16	4+	2
20	18	143/2	143/2	0.75	3/4	3/4	Chord	4/4	3	1	3/16	1/8	3/2	256						
20	18	289/4	289/4	0.25	15/16	15/16	Chord	4/4	3	1	1/16	1/16	1	257						
21	19	145/2	145/2	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	258						
21	19	293/4	293/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	259						
21	19	147/2	147/2	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	260						
21	19	297/4	297/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	261						
21	19	149/2	149/2	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	262						
21	19	305/4	305/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	263						
21	19	145/2	145/2	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	264						
21	19	147/2	147/2	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	265						
21	19	149/2	149/2	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	266						
21	19	305/4	305/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	267						
21	19	145/2	145/2	0.0	0	0	FiguredBass	4/4	3	1	0							1/4	6	
21	19	145/2	145/2	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	268						
21	19	297/4	297/4	0.0	7/16	7/16	FiguredBass	4/4	3	1	0							1/16	#	
21	19	297/4	297/4	0.25	7/16	7/16	Chord	4/4	3	1	1/16	1/16	1	269						
21	19	149/2	149/2	0.75	1/2	1/2	Chord	4/4	3	1	3/16	1/8	3/2	270						
21	19	301/4	301/4	0.25	11/16	11/16	Chord	4/4	3	1	1/16	1/16	1	271						
21	19	151/2	151/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0							3/16	6	4
21	19	151/2	151/2	0.75	3/4	3/4	Chord	4/4	3	1	3/16	1/8	3/2	272						
21	19	305/4	305/4	0.25	15/16	15/16	Chord	4/4	3	1	1/16	1/16	1	273						
22	20	153/2	153/2	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	274						
22	20	309/4	309/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	275						
22	20	155/2	155/2	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	276						
22	20	313/4	313/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	277						
22	20	157/2	157/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	278						
22	20	79	79	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	279						
22	20	159/2	159/2	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	280						
22	20	153/2	153/2	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	281						
22	20	313/4	313/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	282						
22	20	157/2	157/2	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	283						
22	20	153/2	153/2	0.0	0	0	FiguredBass	4/4	3	1	0							1/4	6	
22	20	153/2	153/2	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	284						
22	20	155/2	155/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0							1/4	6	
22	20	155/2	155/2	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	285						
22	20	157/2	157/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0							3/8	#	
22	20	157/2	157/2	1.5	1/2	1/2	Chord	4/4	3	1	3/8	1/4	3/2	286						
22	20	80	80	0.0	7/8	7/8	FiguredBass	4/4	3	1	0							1/8	6	
22	20	80	80	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	287						
23	21	161/2	161/2	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	288						
23	21	163/2	163/2	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	289						
23	21	167/2	167/2	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	290						
23	21	161/2	161/2	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	291						
23	21	165/2	165/2	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	292						
23	21	161/2	161/2	0.0	0	0	FiguredBass	4/4	3	1	0							1/8	9	
23	21	161/2	161/2	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	293						
23	21	81	81	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	294						
23	21	163/2	163/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0							1/8	6	
23	21	163/2	163/2	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	295						
23	21	82	82	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	296						
23	21	165/2	165/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0							1/4	5	4
23	21	165/2	165/2	1.5	1/2	1/2	Chord	4/4	3	1	3/8	1/4	3/2	297						
23	21	167/2	167/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0							1/8	_	3
23	21	84	84	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	298						
24	22	169/2	169/2	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	299						
24	22	171/2	171/2	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	300						
24	22	175/2	175/2	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	301						
24	22	169/2	169/2	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	302						
24	22	173/2	173/2	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	303						
24	22	169/2	169/2	0.0	0	0	FiguredBass	4/4	3	1	0							1/8	9	
24	22	169/2	169/2	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	304						
24	22	85	85	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	305						
24	22	171/2	171/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0							1/8	6	
24	22	171/2	171/2	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	306						
24	22	86	86	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	307						
24	22	173/2	173/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0							1/4	5	4
24	22	173/2	173/2	1.5	1/2	1/2	Chord	4/4	3	1	3/8	1/4	3/2	308						
24	22	175/2	175/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0							1/8	_	3
24	22	88	88	0.0	7/8	7/8	FiguredBass	4/4	3	1	0							1/8	6	
24	22	88	88	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	309						
25	23	177/2	177/2	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	310						
25	23	179/2	179/2	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	311						
25	23	361/4	361/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	312						
25	23	181/2	181/2	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	313						
25	23	369/4	369/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	314						
25	23	177/2	177/2	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	315						
25	23	181/2	181/2	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	316						
25	23	369/4	369/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	317						
25	23	177/2	177/2	0.0	0	0	FiguredBass	4/4	3	1	0							1/8	6	5
25	23	177/2	177/2	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	318						
25	23	89	89	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	319						
25	23	179/2	179/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0							1/8	5	4
25	23	179/2	179/2	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	320						
25	23	90	90	0.0	3/8	3/8	FiguredBass	4/4	3	1	0							1/16	_	
25	23	90	90	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	321						
25	23	361/4	361/4	0.0	7/16	7/16	FiguredBass	4/4	3	1	0							1/16	_	#
25	23	181/2	181/2	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	322						
25	23	91	91	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	323						
25	23	183/2	183/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0							1/8	6	
25	23	183/2	183/2	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	324						
25	23	92	92	0.0	7/8	7/8	FiguredBass	4/4	3	1	0							1/8	7b	
25	23	92	92	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	325						
26	24	185/2	185/2	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	326						
26	24	377/4	377/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	327						
26	24	189/2	189/2	0.75	1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	328						
26	24	381/4	381/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	329						
26	24	191/2	191/2	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	330						
26	24	385/4	385/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	331						
26	24	185/2	185/2	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	332						
26	24	377/4	377/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	333						
26	24	189/2	189/2	0.75	1/2	1/2	Chord	4/4	2	1	3/16	1/8	3/2	334						
26	24	381/4	381/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	335						
26	24	191/2	191/2	0.75	3/4	3/4	Chord	4/4	2	1	3/16	1/8	3/2	336						
26	24	385/4	385/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	337						
26	24	185/2	185/2	1.5	0	0	Chord	4/4	3	1	3/8	1/4	3/2	338						
26	24	94	94	0.0	3/8	3/8	FiguredBass	4/4	3	1	0							1/8	6	
26	24	94	94	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	339						
26	24	189/2	189/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0							3/16	5	
26	24	189/2	189/2	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	340						
26	24	381/4	381/4	0.0	11/16	11/16	FiguredBass	4/4	3	1	0							1/16	6\	
26	24	191/2	191/2	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	341						
27	25	193/2	193/2	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	342						
27	25	393/4	393/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	343						
27	25	197/2	197/2	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	344						
27	25	193/2	193/2	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	345						
27	25	98	98	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	346						
27	25	197/2	197/2	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	347						
27	25	193/2	193/2	0.0	0	0	FiguredBass	4/4	3	1	0							1/4	5	4
27	25	193/2	193/2	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	348						
27	25	195/2	195/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0							1/8	_	_
27	25	195/2	195/2	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	349						
27	25	98	98	0.0	3/8	3/8	FiguredBass	4/4	3	1	0							1/8	_	#
27	25	197/2	197/2	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	350						
