mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
29	29	84	84	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	271											
29	29	86	86	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	272											
29	29	84	84	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	273											
29	29	86	86	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	274											
29	29	84	84	0.0	0	0	FiguredBass	3/4	4	1	0										1/2	5			
29	29	84	84	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	275											
29	29	86	86	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	276											
30	30	87	87	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	277											
30	30	175/2	175/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	278											
30	30	88	88	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	279											
30	30	177/2	177/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	280											
30	30	89	89	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	281											
30	30	87	87	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	282											
30	30	175/2	175/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	283											
30	30	88	88	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	284											
30	30	177/2	177/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	285											
30	30	89	89	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	286											
30	30	87	87	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	287											
30	30	89	89	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	288											
30	30	87	87	0.0	0	0	FiguredBass	3/4	4	1	0										1/2	#			
30	30	87	87	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	289											
30	30	89	89	0.0	1/2	1/2	FiguredBass	3/4	4	1	0										1/4	5			
30	30	89	89	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	290											
31	31	90	90	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	291											
31	31	91	91	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	292											4
31	31	183/2	183/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	293											
31	31	92	92	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	294											
31	31	90	90	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	295											
31	31	91	91	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	296											5
31	31	183/2	183/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	297											
31	31	92	92	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	298											
31	31	90	90	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	299											
31	31	92	92	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	300											
31	31	90	90	0.0	0	0	FiguredBass	3/4	4	1	0										1/2	6			
31	31	90	90	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	301											
31	31	92	92	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	302											
32	32	93	93	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	303											
32	32	95	95	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	304											
32	32	93	93	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	305											
32	32	95	95	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	306											
32	32	93	93	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	307											
32	32	95	95	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	308											
32	32	93	93	0.0	0	0	FiguredBass	3/4	4	1	0										1/2	#			
32	32	93	93	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	309											
32	32	95	95	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	310											
33	33	96	96	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	311											
33	33	96	96	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	312											
33	33	96	96	0.0	0	0	FiguredBass	3/4	4	1	0										3/4	5			
33	33	96	96	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	313											
34	34	99	99	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	314	ornamentTrill										
34	34	99	99	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	315	ornamentTrill										
34	34	99	99	0.0	0	0	FiguredBass	3/4	4	1	0										3/4	6	4		
34	34	99	99	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	316											
35	35	102	102	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	317											
35	35	205/2	205/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	318											
35	35	103	103	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	319											
35	35	207/2	207/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	320											
35	35	104	104	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	321											
35	35	102	102	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	322											
35	35	205/2	205/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	323											
35	35	103	103	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	324											
35	35	207/2	207/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	325											
35	35	104	104	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	326											
35	35	102	102	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	327											
35	35	104	104	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	328											
35	35	102	102	0.0	0	0	FiguredBass	3/4	4	1	0										1/2	5			
35	35	102	102	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	329											
35	35	104	104	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	330											
36	36	105	105	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	331											
36	36	106	106	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	332											6
36	36	213/2	213/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	333											
36	36	107	107	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	334											
36	36	105	105	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	335											
36	36	106	106	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	336											7
36	36	213/2	213/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	337											
36	36	107	107	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	338											
36	36	105	105	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	339											
36	36	107	107	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	340											
36	36	105	105	0.0	0	0	FiguredBass	3/4	4	1	0										1/2	6			
36	36	105	105	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	341											
36	36	107	107	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	342											
37	37	108	108	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	343											
37	37	110	110	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	344											
37	37	108	108	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	345											
37	37	110	110	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	346											
37	37	108	108	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	347											
37	37	110	110	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	348											
37	37	108	108	0.0	0	0	FiguredBass	3/4	4	1	0										1/2	#			
37	37	108	108	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	349											
37	37	110	110	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	350											
38	38	111	111	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	351											
38	38	113	113	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	352											
39	39	114	114	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	353											
39	39	229/2	229/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	354											
39	39	115	115	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	355											
39	39	231/2	231/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	356											
39	39	116	116	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	357											
40	40	117	117	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	358											
40	40	118	118	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	359											8
40	40	237/2	237/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	360											
40	40	119	119	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	361											
41	41	120	120	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	362											
41	41	122	122	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	363											
42	42	123	123	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	364											
42	42	125	125	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	365											
42	42	123	123	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	366											
42	42	125	125	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	367											
43	43	126	126	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	368											
43	43	253/2	253/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	369											
43	43	127	127	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	370											
43	43	255/2	255/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	371											
43	43	128	128	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	372											
43	43	126	126	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	373											
43	43	253/2	253/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	374											
43	43	127	127	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	375											
43	43	255/2	255/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	376											
43	43	128	128	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	377											
44	44	129	129	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	378											
44	44	130	130	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	379											9
44	44	261/2	261/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	380											
44	44	131	131	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	381											
44	44	129	129	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	382											
44	44	130	130	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	383											
44	44	261/2	261/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	384											
44	44	131	131	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	385											
45	45	132	132	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	386											
45	45	134	134	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	387											
45	45	132	132	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	388											
45	45	134	134	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	389											
46	46	135	135	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	390											
46	46	271/2	271/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	391											
46	46	136	136	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	392											
46	46	273/2	273/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	393											
46	46	137	137	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	394											
46	46	275/2	275/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	395											
46	46	135	135	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	396											
47	47	138	138	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	397											
47	47	277/2	277/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	398											
47	47	139	139	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	399											
47	47	279/2	279/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	400											
47	47	140	140	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	401											
47	47	281/2	281/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	402											
47	47	138	138	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	403											
48	48	141	141	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	404											
48	48	283/2	283/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	405											
48	48	142	142	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	406											
48	48	285/2	285/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	407											
48	48	143	143	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	408											
48	48	287/2	287/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	409											
48	48	141	141	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	410											
49	49	144	144	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	411											
49	49	289/2	289/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	412											
49	49	145	145	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	413											
49	49	291/2	291/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	414											
49	49	146	146	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	415											
49	49	293/2	293/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	416											
49	49	144	144	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	417											
50	50	147	147	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	418											
50	50	149	149	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	419											
50	50	147	147	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	420											
50	50	149	149	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	421											
50	50	147	147	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	422											
50	50	149	149	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	423											
50	50	147	147	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	424											
50	50	149	149	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	425											
51	51	150	150	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	426											
51	51	301/2	301/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	427											
51	51	151	151	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	428											
51	51	303/2	303/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	429											
51	51	152	152	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	430											
51	51	150	150	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	431											
51	51	152	152	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	432											
51	51	150	150	0.5	0	0	Chord	3/4	3	1	1/8	1/8	1	433											
51	51	301/2	301/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8	1/8	1	434											
51	51	151	151	0.5	1/4	1/4	Chord	3/4	3	1	1/8	1/8	1	435											
51	51	303/2	303/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	436											
51	51	152	152	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	437											
51	51	150	150	0.5	0	0	Chord	3/4	4	1	1/8	1/8	1	438											
51	51	301/2	301/2	0.5	1/8	1/8	Chord	3/4	4	1	1/8	1/8	1	439											
51	51	151	151	0.0	1/4	1/4	FiguredBass	3/4	4	1	0										1/8	6			
51	51	151	151	0.5	1/4	1/4	Chord	3/4	4	1	1/8	1/8	1	440											
51	51	303/2	303/2	0.5	3/8	3/8	Chord	3/4	4	1	1/8	1/8	1	441											
51	51	152	152	0.0	1/2	1/2	FiguredBass	3/4	4	1	0										1/4	5			
51	51	152	152	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	442											
52	52	153	153	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	443											
52	52	154	154	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	444											
52	52	155	155	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	445											
52	52	153	153	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	446											
52	52	154	154	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	447											
52	52	155	155	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	448											
52	52	153	153	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	449											
52	52	154	154	0.5	1/4	1/4	Chord	3/4	3	1	1/8	1/8	1	450											
52	52	309/2	309/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	451											
52	52	155	155	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	452											
52	52	153	153	0.0	0	0	FiguredBass	3/4	4	1	0										1/4	#			
52	52	153	153	1.0	0	0	Chord	3/4	4	1	1/4	1/4	1	453											
52	52	154	154	0.5	1/4	1/4	Chord	3/4	4	1	1/8	1/8	1	454											
52	52	309/2	309/2	0.5	3/8	3/8	Chord	3/4	4	1	1/8	1/8	1	455											
52	52	155	155	0.0	1/2	1/2	FiguredBass	3/4	4	1	0										1/4	6			
52	52	155	155	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	456											
53	53	156	156	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	457	ornamentTrill										
53	53	158	158	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	458											
53	53	156	156	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	459	ornamentTrill										
53	53	158	158	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	460											
53	53	156	156	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	461											
53	53	158	158	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	462											
53	53	156	156	0.0	0	0	FiguredBass	3/4	4	1	0										1/2	6\			
53	53	156	156	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	463											
53	53	158	158	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	464											
54	54	159	159	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	465											
54	54	159	159	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	466											
54	54	319/2	319/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	467											
54	54	160	160	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	468											
54	54	321/2	321/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	469											
54	54	161	161	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	470											
54	54	323/2	323/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	471											
54	54	159	159	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	472											
54	54	159	159	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	473											
55	55	162	162	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	474											
55	55	162	162	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	475											
55	55	325/2	325/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	476											
55	55	163	163	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	477											
55	55	327/2	327/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	478											
55	55	164	164	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	479											
55	55	329/2	329/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	480											
55	55	162	162	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	481											
55	55	162	162	0.0	0	0	FiguredBass	3/4	4	1	0										1/2	6			
55	55	162	162	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	482											
56	56	165	165	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	483											
56	56	167	167	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	484											
56	56	165	165	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	485											
56	56	331/2	331/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	486											
56	56	166	166	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	487											
56	56	333/2	333/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	488											
56	56	167	167	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	489											
56	56	335/2	335/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	490											
56	56	165	165	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	491											
56	56	165	165	0.0	0	0	FiguredBass	3/4	4	1	0										1/2	7			
56	56	165	165	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	492											
56	56	167	167	0.0	1/2	1/2	FiguredBass	3/4	4	1	0										1/4	6\			
57	57	168	168	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	493											
57	57	337/2	337/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	494											
57	57	169	169	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	495											
57	57	339/2	339/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	496											
57	57	170	170	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	497											
57	57	341/2	341/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	498											
57	57	168	168	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	499											
57	57	168	168	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	500											
57	57	170	170	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	501											
57	57	168	168	0.0	0	0	FiguredBass	3/4	4	1	0										1/2	#			
57	57	168	168	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	502											
57	57	170	170	0.0	1/2	1/2	FiguredBass	3/4	4	1	0										1/4	6			
57	57	170	170	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	503											
58	58	171	171	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	504											
58	58	171	171	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	505											
58	58	343/2	343/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	506											
58	58	172	172	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	507											
58	58	345/2	345/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	508											
58	58	173	173	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	509											
58	58	347/2	347/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	510											
58	58	171	171	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	511											
58	58	173	173	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	512											
58	58	171	171	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	513											
58	58	173	173	0.0	1/2	1/2	FiguredBass	3/4	4	1	0										1/4	7			
58	58	173	173	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	514											
59	59	174	174	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	515											
59	59	349/2	349/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	516											
59	59	175	175	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	517											
59	59	351/2	351/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	518											
59	59	176	176	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	519											
59	59	353/2	353/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	520											
59	59	174	174	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	521											
59	59	174	174	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	522											
59	59	174	174	0.0	0	0	FiguredBass	3/4	4	1	0										3/4	7	#		
59	59	174	174	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	523											
60	60	177	177	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	524											
60	60	177	177	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	525											
60	60	355/2	355/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	526											
60	60	178	178	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	527											
60	60	357/2	357/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	528											
60	60	179	179	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	529											
60	60	359/2	359/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	530											
60	60	177	177	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	531											
60	60	177	177	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	532											
61	61	180	180	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	533											
61	61	361/2	361/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	534											
61	61	181	181	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	535											
61	61	363/2	363/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	536											
61	61	182	182	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	537											
61	61	365/2	365/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	538											
61	61	180	180	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	539											
61	61	361/2	361/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	540											
61	61	181	181	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	541											
61	61	363/2	363/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	542											
61	61	182	182	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	543											
61	61	365/2	365/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	544											
61	61	180	180	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	545											
61	61	181	181	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	546											
61	61	180	180	0.0	0	0	FiguredBass	3/4	4	1	0										1/4	5			
61	61	180	180	1.0	0	0	Chord	3/4	4	1	1/4	1/4	1	547											
61	61	181	181	0.0	1/4	1/4	FiguredBass	3/4	4	1	0										1/2	6			
61	61	181	181	2.0	1/4	1/4	Chord	3/4	4	1	1/2	1/2	1	548											
62	62	183	183	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	549											
62	62	184	184	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	550											
62	62	183	183	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	551											
62	62	185	185	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	552											
62	62	183	183	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	553											
62	62	184	184	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	554											
62	62	183	183	0.0	0	0	FiguredBass	3/4	4	1	0										1/4	5	#		
62	62	183	183	1.0	0	0	Chord	3/4	4	1	1/4	1/4	1	555											
62	62	184	184	0.0	1/4	1/4	FiguredBass	3/4	4	1	0										1/2	6			
